id,market,detectedAt,currentPrice,previousPrice,changeRate,rankByChangeRate,rankByTradeValue,missedReason,suggestedStrategy,relatedRuleBefore,suggestedRuleAfter
1549,KRW-XEC,1778632333421,0.0127,0.0126,4.95867769,2,87,"TRADE_VALUE_FILTER_EXCLUDED: move 0.79% from previous snapshot, 0.79% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1550,KRW-SNT,1778632396109,15.8,15.8,2.5974026,9,171,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 1.28% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1551,KRW-ZBT,1778632458461,234.0,235.0,2.18340611,9,42,"TRADE_VALUE_FILTER_EXCLUDED: move -0.43% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1552,KRW-ZORA,1778632583852,19.5,19.4,2.0942408400000003,10,93,"TRADE_VALUE_FILTER_EXCLUDED: move 0.52% from previous snapshot, 0.52% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1553,KRW-ETH,1778632646662,3386000.0,3385000.0,0.38541358000000003,100,5,"SCORE_TOO_LOW: move 0.03% from previous snapshot, -0.06% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1554,KRW-CFG,1778632709229,428.0,427.0,2.1479713599999997,10,47,"TRADE_VALUE_FILTER_EXCLUDED: move 0.23% from previous snapshot, 1.18% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1555,KRW-INJ,1778632804371,7245.0,7235.0,2.1861777200000003,10,57,"TRADE_VALUE_FILTER_EXCLUDED: move 0.14% from previous snapshot, 1.26% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1556,KRW-BTC,1778633118995,119607000.0,119608000.0,0.3397594,123,2,"SCORE_TOO_LOW: move -0.00% from previous snapshot, 0.07% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1557,KRW-MOVE,1778633150443,29.5,29.5,2.07612457,10,39,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.68% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1558,KRW-BREV,1778633181723,201.0,201.0,2.0304568499999998,10,96,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1559,KRW-JUP,1778633245292,351.0,351.0,2.33236152,7,122,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.29% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1560,KRW-PENDLE,1778633245292,3071.0,3071.0,1.9926934600000001,10,102,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 1.15% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1561,KRW-KAITO,1778633466324,701.0,702.0,3.24005891,5,111,"TRADE_VALUE_FILTER_EXCLUDED: move -0.14% from previous snapshot, -0.28% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1562,KRW-ZK,1778633772164,28.3,28.2,2.1660649800000003,9,156,"TRADE_VALUE_FILTER_EXCLUDED: move 0.35% from previous snapshot, 0.71% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1563,KRW-ZKC,1778634033385,122.0,120.0,2.5210084,10,115,"TRADE_VALUE_FILTER_EXCLUDED: move 1.67% from previous snapshot, 0.83% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1564,KRW-AZTEC,1778634033385,37.1,36.9,7.22543353,2,35,"TRADE_VALUE_FILTER_EXCLUDED: move 0.54% from previous snapshot, 0.27% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1565,KRW-SKR,1778634096630,25.2,25.2,2.85714286,8,105,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1566,KRW-TIA,1778634096630,701.0,698.0,2.63543192,10,96,"TRADE_VALUE_FILTER_EXCLUDED: move 0.43% from previous snapshot, 1.45% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1567,KRW-XEC,1778634161030,0.0125,0.0125,3.3057851200000004,5,83,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1568,KRW-ZBT,1778634289461,237.0,236.0,3.4934497799999997,4,41,"TRADE_VALUE_FILTER_EXCLUDED: move 0.42% from previous snapshot, 1.28% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1569,KRW-STX,1778634321024,413.0,412.0,2.9925186999999998,10,48,"TRADE_VALUE_FILTER_EXCLUDED: move 0.24% from previous snapshot, 1.72% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1570,KRW-ETH,1778634447388,3387000.0,3386000.0,0.41506078,146,4,"SCORE_TOO_LOW: move 0.03% from previous snapshot, 0.09% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1571,KRW-CFG,1778634510760,435.0,435.0,3.8186157499999998,4,45,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 1.87% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1572,KRW-CHIP,1778634827805,96.9,97.0,0.8324661800000001,124,8,"SCORE_TOO_LOW: move -0.10% from previous snapshot, -0.10% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1573,KRW-BTC,1778634923479,119995000.0,119992000.0,0.66525729,151,2,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.31% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1574,KRW-MOVE,1778634954868,30.0,29.9,3.80622837,7,39,"TRADE_VALUE_FILTER_EXCLUDED: move 0.33% from previous snapshot, 1.01% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1575,KRW-BREV,1778634986531,205.0,205.0,4.0609137099999995,5,96,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.99% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1576,KRW-JUP,1778635082208,355.0,354.0,3.4985422699999997,7,120,"TRADE_VALUE_FILTER_EXCLUDED: move 0.28% from previous snapshot, 1.14% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1577,KRW-PENDLE,1778635239795,3127.0,3109.0,3.85254068,5,99,"TRADE_VALUE_FILTER_EXCLUDED: move 0.58% from previous snapshot, 1.76% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1578,KRW-XRP,1778635430285,2150.0,2148.0,0.93896714,126,1,"SCORE_TOO_LOW: move 0.09% from previous snapshot, 0.09% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1579,KRW-ZORA,1778635493272,19.8,19.7,3.6649214700000003,9,91,"TRADE_VALUE_FILTER_EXCLUDED: move 0.51% from previous snapshot, 1.54% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1580,KRW-ZK,1778635588550,28.8,28.7,3.9711191299999995,9,147,"TRADE_VALUE_FILTER_EXCLUDED: move 0.35% from previous snapshot, 0.70% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1581,KRW-SKR,1778635900094,25.6,25.4,4.48979592,6,100,"TRADE_VALUE_FILTER_EXCLUDED: move 0.79% from previous snapshot, 1.59% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1582,KRW-TIA,1778635900094,714.0,713.0,4.53879941,5,88,"TRADE_VALUE_FILTER_EXCLUDED: move 0.14% from previous snapshot, 1.42% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1583,KRW-XEC,1778636098896,0.0126,0.0126,4.1322314,10,80,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.80% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1584,KRW-ETH,1778636284460,3399000.0,3400000.0,0.7708271600000001,169,4,"SCORE_TOO_LOW: move -0.03% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1585,KRW-CFG,1778636357155,440.0,439.0,5.01193317,4,45,"TRADE_VALUE_FILTER_EXCLUDED: move 0.23% from previous snapshot, -0.23% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1586,KRW-ZBT,1778636357155,239.0,238.0,4.36681223,7,41,"TRADE_VALUE_FILTER_EXCLUDED: move 0.42% from previous snapshot, 0.84% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1587,KRW-INJ,1778636487186,7385.0,7385.0,4.1607898400000005,10,56,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 1.16% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1588,KRW-ARKM,1778636603070,216.0,215.0,4.34782609,10,154,"TRADE_VALUE_FILTER_EXCLUDED: move 0.47% from previous snapshot, 1.41% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1589,KRW-BTC,1778636730960,120256000.0,120256000.0,0.88421335,158,2,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.09% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1590,KRW-AZTEC,1778636763247,37.6,37.6,8.670520230000001,2,20,"UNKNOWN: move 0.00% from previous snapshot, -1.31% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
1591,KRW-BREV,1778636794888,208.0,208.0,5.58375635,3,93,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.97% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1592,KRW-JUP,1778636890409,358.0,358.0,4.373177839999999,10,119,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.28% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1593,KRW-PENDLE,1778637049612,3164.0,3166.0,5.08136832,4,95,"TRADE_VALUE_FILTER_EXCLUDED: move -0.06% from previous snapshot, 0.76% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1594,KRW-NEAR,1778637208972,2490.0,2488.0,4.35875943,10,22,"UNKNOWN: move 0.08% from previous snapshot, -0.20% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
1595,KRW-ZK,1778637399914,29.0,29.0,4.69314079,5,138,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1596,KRW-USDT,1778637558647,1484.0,1484.0,0.13495277,202,4,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.07% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1597,KRW-LA,1778637653283,220.0,219.0,3.7735849100000003,9,135,"TRADE_VALUE_FILTER_EXCLUDED: move 0.46% from previous snapshot, 0.46% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1598,KRW-XRP,1778637685120,2148.0,2150.0,0.8450704200000001,139,1,"SCORE_TOO_LOW: move -0.09% from previous snapshot, -0.14% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1599,KRW-CPOOL,1778637971551,60.6,60.6,13.27102804,1,10,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 1.85% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1600,KRW-ETH,1778638097802,3396000.0,3396000.0,0.68188556,154,5,"SCORE_TOO_LOW: move 0.00% from previous snapshot, -0.06% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1601,KRW-CFG,1778638161946,438.0,437.0,4.53460621,6,43,"TRADE_VALUE_FILTER_EXCLUDED: move 0.23% from previous snapshot, 0.69% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1602,KRW-ZBT,1778638161946,243.0,243.0,6.113537119999999,3,41,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.41% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1603,KRW-INJ,1778638291426,7460.0,7465.0,5.21861777,5,56,"TRADE_VALUE_FILTER_EXCLUDED: move -0.07% from previous snapshot, 0.74% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1604,KRW-ARKM,1778638419318,216.0,216.0,4.34782609,9,145,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.47% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1605,KRW-BTC,1778638546709,120147000.0,120150000.0,0.79277193,150,2,"SCORE_TOO_LOW: move -0.00% from previous snapshot, 0.12% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1606,KRW-AZTEC,1778638578537,37.5,37.7,8.38150289,2,20,"UNKNOWN: move -0.53% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
1607,KRW-BREV,1778638610767,207.0,207.0,5.07614213,6,97,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1608,KRW-VVV,1778638737237,23140.0,23120.0,0.08650519031141869,258,6,"SCORE_TOO_LOW: move 0.09% from previous snapshot, -1.32% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1609,KRW-ATH,1778638800309,10.7,10.7,3.88349515,10,46,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 1.90% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1610,KRW-PENDLE,1778638864759,3148.0,3148.0,4.54998339,7,92,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.16% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1611,KRW-JUP,1778638896869,358.0,356.0,4.373177839999999,9,116,"TRADE_VALUE_FILTER_EXCLUDED: move 0.56% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1612,KRW-TIA,1778639470425,717.0,712.0,4.97803807,10,67,"TRADE_VALUE_FILTER_EXCLUDED: move 0.70% from previous snapshot, 1.41% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1613,KRW-XRP,1778639502091,2150.0,2150.0,0.93896714,132,1,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.05% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1614,KRW-ETH,1778639933783,3405000.0,3404000.0,0.94871035,133,5,"SCORE_TOO_LOW: move 0.03% from previous snapshot, 0.09% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1615,KRW-CFG,1778639965602,444.0,444.0,5.96658711,7,43,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.45% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1616,KRW-ZBT,1778639965602,243.0,242.0,6.113537119999999,6,41,"TRADE_VALUE_FILTER_EXCLUDED: move 0.41% from previous snapshot, 0.83% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1617,KRW-INJ,1778640093743,7550.0,7550.0,6.48801128,4,44,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.92% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1618,KRW-ARKM,1778640231570,220.0,220.0,6.28019324,4,141,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.46% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1619,KRW-LA,1778640231570,222.0,222.0,4.716981130000001,10,124,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.91% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1620,KRW-AZTEC,1778640480052,38.0,37.8,9.8265896,1,20,"UNKNOWN: move 0.53% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
1621,KRW-BTC,1778640480052,120124000.0,120130000.0,0.77347696,159,2,"SCORE_TOO_LOW: move -0.00% from previous snapshot, 0.02% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1622,KRW-BREV,1778640480052,207.0,207.0,5.07614213,9,98,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.48% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1623,KRW-VVV,1778640574668,23010.0,22960.0,0.5242463958060288,258,6,"SCORE_TOO_LOW: move 0.22% from previous snapshot, 0.52% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1624,KRW-ATH,1778640606327,10.8,10.8,4.85436893,10,46,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.93% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1625,KRW-JUP,1778640704218,361.0,361.0,5.24781341,9,114,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1626,KRW-PENDLE,1778640704218,3162.0,3139.0,5.0149452,10,92,"TRADE_VALUE_FILTER_EXCLUDED: move 0.73% from previous snapshot, 0.22% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1627,KRW-TIA,1778641287076,730.0,731.0,6.881405559999999,6,63,"TRADE_VALUE_FILTER_EXCLUDED: move -0.14% from previous snapshot, 1.53% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1628,KRW-XRP,1778641346419,2148.0,2146.0,0.8450704200000001,135,1,"SCORE_TOO_LOW: move 0.09% from previous snapshot, 0.14% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1629,KRW-ETH,1778641746311,3400000.0,3402000.0,0.8004743599999999,136,5,"SCORE_TOO_LOW: move -0.06% from previous snapshot, -0.03% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1630,KRW-CFG,1778641777623,449.0,450.0,7.1599045299999995,5,40,"TRADE_VALUE_FILTER_EXCLUDED: move -0.22% from previous snapshot, 0.90% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1631,KRW-ZBT,1778641777623,246.0,245.0,7.423580790000001,4,43,"TRADE_VALUE_FILTER_EXCLUDED: move 0.41% from previous snapshot, 0.82% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1632,KRW-INJ,1778641905625,7555.0,7580.0,6.55853315,7,44,"TRADE_VALUE_FILTER_EXCLUDED: move -0.33% from previous snapshot, -0.46% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1633,KRW-ARKM,1778642061234,221.0,221.0,6.76328502,5,135,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.91% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1634,KRW-AZTEC,1778642287575,38.0,37.9,9.8265896,1,18,"UNKNOWN: move 0.26% from previous snapshot, 1.33% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
1635,KRW-BTC,1778642287575,120047000.0,120002000.0,0.70888072,149,2,"SCORE_TOO_LOW: move 0.04% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1636,KRW-BREV,1778642287575,208.0,208.0,5.58375635,7,99,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.95% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1637,KRW-VVV,1778642381651,22780.0,23040.0,-0.5674378000872982,258,6,"SCORE_TOO_LOW: move -1.13% from previous snapshot, -0.57% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
1638,KRW-JUP,1778642506961,360.0,360.0,4.95626822,10,112,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.28% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1639,KRW-PENDLE,1778642506961,3166.0,3166.0,5.14779143,9,95,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.35% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1640,KRW-ATH,1778642696408,10.8,10.7,4.85436893,9,45,"TRADE_VALUE_FILTER_EXCLUDED: move 0.93% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1641,KRW-TIA,1778643108105,725.0,725.0,6.149341140000001,6,61,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.28% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
1642,KRW-XRP,1778643171268,2148.0,2148.0,0.8450704200000001,144,1,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.14% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
